TimePoint,Station,Sample,Lat,Lon,Site,Date,Time,Meta_ID,Transparency_m,Temperature_C,Salinity_psu,pH,DO_mg.L,Chla_mg.m3,Seston_mg.L,Speed,Biomass,Biovolumen,Taxa_S,Shannon_H,Equitability_J,Acaro,Bivalvo,Cangrejos,Chaetognata,Copepoda,Cladocera,Euphasido,Gasteropodo,Hydromedusa,Huevos.redondos,Huevos.ovalados,Insectos,Larvas.de.Peces,Larvas.Brachiura,Larvas.Camarón,Larvas.Insectos,Luciféridos,Myscidaceos,Oikopleura,Ostracoda,Pez.juvenil,Polichaeto,Porcelanidos,Pteropoda,Stomatopoda,Huevos.indeterminados,Diptera.pupa
4M,1,4M1,8.24186111,76.94947222,Roto,2015-12-07,06:25:00 AM,4M-1-1,0.175,28.22,0.261369002337996,8.135,5.085,4.02636,191,0.643088552915767,0.191,17.02569603,7,0.4523,0.2324,170.256960317359,0,0,0,83936.681436458,681.027841269436,4937.45184920341,0,0,0,0,170.256960317359,425.642400793398,0,0,0,0,0,0,3234.88224602982,0,0,0,0,0,0,0
4M,2,4M2,8.12266667,76.89844444,Candelaria,2015-12-07,08:21:00 AM,4M-2-1,0.87,29.255,2.27878351247661,7.88,5.545,1.232205,24.9,0.586393088552916,0.0249,4.553671853,8,1.092,0.5254,45.5367185329891,0,0,0,29280.110016712,19262.0319394544,0,910.734370659782,0,0,0,227.683592664945,6693.89762434939,364.293748263913,45.5367185329891,0,0,0,0,0,0,0,0,0,0,0,0
4M,3,4M3,8.12644444,76.80983333,Margarita,2015-12-07,09:50:00 AM,4M-3-1,1.065,29.015,5.26318791690377,7.93,5.47,2.134665,19.1381818181818,0.330453563714903,0.019138182,73.81817108,10,1.634,0.7095,0,0,0,0,133463.253314436,1181.09073729589,8858.1805297192,13582.5434789028,0,0,0,0,31298.9045383412,220273.422505684,7086.54442377536,0,39566.5396994124,36613.8128561727,0,0,0,0,0,0,18897.4517967343,0,0
4M,4,4M4,8.01538889,76.85413889,Leoncito,2015-12-02,08:27:00 AM,4M-4-1,0.475,28.155,0.174732999633688,7.695,4.71,1.94376,92.8,0.788876889848812,0.050533333,10.90554165,11,1.014,0.4227,54.5277082549498,0,0,0,30480.9889145169,708.860207314347,22410.8880927843,0,0,0,0,54.5277082549498,872.443332079196,381.693957784648,0,0,708.860207314347,490.749374294548,0,0,0,0,0,0,327.166249529699,0,218.110833019799
4M,5,4M5,8.02088889,76.89516667,Marirrio,2015-12-02,07:25:00 AM,4M-5-1,2.725,29.345,10.3542644271668,8.035,5.2,4.58172,8.26666666666668,0.701403887688985,0.0208,523.5876224,11,1.362,0.568,0,0,0,33509.6078328708,121006.917174256,0,0,7446.57951841574,20478.0936756433,116.352804975246,0,0,15533.0994641953,94943.8888598007,3723.28975920787,0,802368.943109296,96805.5337394046,0,0,0,0,0,0,100528.823498613,0,0
4M,7,4M7,8.00461111,76.88166667,Currulao,2015-12-13,06:45:00 AM,4M-7-1,0.74,29.52,5.33984230348589,8.225,5.575,0.83304,36.4666666666667,0.311015118790496,0.036466667,11.47881585,8,0.258,0.1241,0,0,0,0,78228.1299861106,0,0,401.758554587509,0,0,57.394079226787,0,2754.91580288577,631.334871494657,57.394079226787,0,0,57.394079226787,0,0,0,0,0,0,229.576316907148,0,0
4M,8,4M8,8.10852778,76.74458333,El Uno,2015-12-13,09:10:00 AM,4M-8-1,0.39,29.545,5.91938720906065,7.93,5,2.56854,44.2,0.0777537796976243,0.0442,228.6180853,4,0.03649,0.02632,0,0,0,0,4948601.7554603,0,7838.33435394979,0,0,0,0,0,8818.12614819351,7838.33435394979,0,0,0,0,0,0,0,0,0,0,0,0,0
4M,9,4M9,8.00633333,76.72669444,Yarumal,2015-12-13,08:15:00 AM,4M-9-1,1.11,29.22,3.44379382461424,8.045,5.75,0,13.6666666666667,0.654427645788337,0.013666667,26.04624511,9,0.1024,0.04661,65.115612770474,0,0,0,163440.18805389,0,0,846.502966016162,0,0,0,130.231225540948,260.462451081896,130.231225540948,195.346838311422,0,65.115612770474,0,0,0,0,0,0,0,781.387353245688,0,0
4M,10,4M10,8.47011111,76.81772222,RioNecocli,2015-12-10,01:01:00 PM,4M-10-1,2.175,30.41,15.54881187631,8.425,5.39,0.83304,15.11,0.463282937365011,0.01511,89.42544154,15,1.589,0.5869,0,1788.50883076235,0,80840.5991504583,227498.323272971,0,0,102660.406885759,13234.9653476414,44.7127207690588,536.552649228706,0,268.276324614353,2146.21059691482,2146.21059691482,0,28616.1412921976,11088.7547507266,10731.0529845741,0,0,357.70176615247,0,0,12877.2635814889,0,0
4M,12,4M12,8.52194444,76.92738889,P.Arenas S,2015-12-10,11:10:00 AM,4M-12-1,5.3,30.33,21.1811676156815,8.435,4.78,0,15.3166666666667,0.647948164146868,0.015316667,7.049302824,14,1.676,0.6351,0,0,0,881.162852993839,15931.4243821286,317.218627077782,0,740.176796514825,70.4930282395071,881.162852993839,211.479084718521,0,0,317.218627077782,140.986056479014,0,3383.66535549634,5145.99106148402,5110.74454736427,0,0,211.479084718521,458.204683556796,0,0,0,0
4M,13,4M13,8.55497222,76.93902778,P.Arenas N,2015-12-10,09:40:00 AM,4M-13-1,5.05,29.76,24.5824529079718,8.42,5.15,0.59007,11.75,0.283477321814255,0.01175,297.9496806,17,1.609,0.5678,0,5448.22273015549,383.078160714058,294204.027428396,241083.85580938,0,0,98068.0091427988,32689.3363809329,6299.50753174228,681.027841269436,0,212.821200396699,4384.11672817199,2213.34048412567,0,16344.6681904665,4086.16704761662,76275.1182221768,0,212.821200396699,1362.05568253887,851.284801586795,0,0,0,0
4M,14,4M14,8.88238889,76.50716667,Bajo Medio,2015-12-04,09:40:00 AM,4M-14-1,10,30.19,25.1280693786782,8.385,4.78,0,8.67816091954021,0.0307775377969762,0.008678161,237.3793322,10,0.2351,0.1021,0,0,0,0,12943820.2247191,378118.900669937,0,108033.971619982,0,2637.54813525347,9864.43002584797,0,105.501925410139,0,13504.2464524978,0,0,0,67521.2322624888,0,0,0,316.505776230416,0,27008.4929049955,0,0
4M,15,4M15,8.76527778,76.639,Sabanilla,2015-12-05,09:15:00 AM,4M-15-1,9.135,29.565,25.9796933724458,8.285,4.855,3.314805,10.75,0.0161987041036717,0.01075,15.32590538,14,0.4505,0.1707,0,0,0,613.036215114408,137013.59407807,919.554322671612,0,664.122566373942,919.554322671612,1277.15878148835,7049.91647381569,0,102.172702519068,817.381620152544,102.172702519068,0,51.086351259534,51.086351259534,613.036215114408,0,0,153.259053778602,0,0,0,0,0
5M,1,5M1,8.24186111,76.94947222,Roto,2016-02-09,07:40:00 AM,5M-1-1,2.075,27.925,20.9471079346254,8.21,2.72,0,11.2,1.61015118790497,0.0112,119.0374158,15,1.304,0.4814,0,3047.357845518,0,22093.3443800055,312354.179165595,0,0,39615.651991734,2285.5183841385,2952.12791284557,1571.29388909522,0,523.764629698407,761.839461379501,6094.71569103601,0,17522.3076117285,4571.03676827701,86087.8591358836,0,0,2285.5183841385,0,0,761.839461379501,0,0
5M,2,5M2,8.12266667,76.89844444,Candelaria,2016-02-09,09:26:00 AM,5M-2-1,0.875,27.915,9.69888181315856,8.165,2.995,0.190904999999999,15.6,1.81587473002159,0.0156,43.63230187,15,1.103,0.4074,0,654.484527985759,0,6195.78686493185,164581.042637485,0,1788.92437649441,6544.84527985759,1788.92437649441,0,0,0,1003.5429429115,1178.07215037437,0,87.2646037314345,741.749131717193,2443.40890448016,30891.6697209278,0,43.6323018657172,305.426113060021,0,0,14398.6596156867,0,0
5M,3,5M3,8.12644444,76.80983333,Margarita,2016-02-09,11:04:00 AM,5M-3-1,0.595,28.295,8.74944431062936,8.085,3.07,0,27.7,1.25377969762419,0.0277,59.47849258,13,1.493,0.5821,0,0,0,0,170980.839994925,0,0,2537.74901662226,7613.24704986677,39.6523283847228,0,317.218627077782,634.437254155564,57099.3528740008,1903.31176246669,0,17129.8058622002,32990.7372160893,951.655881233346,0,39.6523283847228,0,0,0,53927.166603223,0,0
5M,4,5M4,8.01538889,76.85413889,Leoncito,2016-02-25,08:43:00 AM,5M-4-1,0.675,28.125,9.31283074021237,8.03,3.29,4.876755,18.6999999999999,1.07235421166307,0.0187,8.018506713,8,0.3434,0.1651,0,0,0,0,35321.5220729444,0,0,120.277600702421,0,0,0,0,721.665604214527,1002.31333918684,40.0925335674737,0,120.277600702421,0,280.647734972316,0,0,0,0,0,200.462667837369,0,0
5M,5,5M5,8.02088889,76.89516667,Marirrio,2016-02-25,07:35:00 AM,5M-5-1,1.55,27.855,9.44348950339297,8.13,3.22,0.190905,16.6166666666667,1.47246220302376,0.016616667,7.890480136,11,0.6705,0.2796,0,0,0,39.4524006785813,61743.0070619797,0,2012.07243460765,1144.11961967886,315.61920542865,236.714404071488,0,0,749.595612893045,6785.81291671598,197.262003392906,0,157.809602714325,0,0,0,0,0,0,0,236.714404071488,0,0
5M,7,5M7,8.00461111,76.88166667,Currulao,2016-03-04,07:13:00 AM,5M-7-1,0.615,27.69,10.1411159117007,8.425,3.52,0,49.8,0.88768898488121,0.0498,11.30740771,10,0.7637,0.3317,0,45.2296308357531,0,0,46767.4382841687,0,0,271.377785014519,6015.54090115517,45.2296308357531,0,0,1944.87412593738,3030.38526599546,135.688892507259,0,0,0,0,0,45.2296308357531,0,0,0,316.607415850272,0,0
5M,8,5M8,8.10852778,76.74458333,El Uno,2016-03-04,09:30:00 AM,5M-8-1,0.415,27.67,11.050217701286,8.155,3.565,2.52226,42.5,0.649568034557235,0.0425,23.26479525,14,1.144,0.4334,0,744.473447889185,0,1116.71017183378,135866.404239776,0,4466.84068733511,1861.18361972296,89336.8137467022,46.5295904930741,46.5295904930741,0,1721.59484824374,14517.2322338391,0,0,372.236723944593,0,744.473447889185,0,0,3350.13051550133,0,0,372.236723944593,0,0
5M,9,5M9,8.00633333,76.72669444,Yarumal,2016-03-04,08:42:00 AM,5M-9-1,1.16,27.715,10.7619834049767,8.28,3.6,4.564365,16.25,0.704643628509719,0.01625,82.60707943,8,0.4281,0.2059,0,0,0,0,15787.1307348818,0,0,367.142575229808,211841.265907599,45.892821903726,0,367.142575229808,367.142575229808,0,0,0,734.285150459617,0,0,0,0,0,0,0,6608.56635413655,0,0
5M,10,5M10,8.47011111,76.81772222,RioNecocli,2016-02-13,12:30:00 PM,5M-10-1,2.4,28.665,23.8461643245742,8.32,3.115,0,6.66666666666667,1.01241900647948,0.006666667,13.56888925,14,1.921,0.7278,0,0,0,7869.95576542104,9905.28915302994,0,0,316.607415850272,768.903724207803,1583.03707925136,45.2296308357531,45.2296308357531,0,407.066677521778,90.4592616715063,0,4115.89640605353,8096.10391959981,1040.28150922232,0,0,0,407.066677521778,0,2397.17043429492,0,0
5M,12,5M12,8.52194444,76.92738889,P.Arenas S,2016-02-13,10:55:00 AM,5M-12-1,1.95,28.53,26.3548151671814,8.29,2.97,2.15202,6.84999999999999,1.06263498920087,0.00685,30.05656646,13,0.6414,0.2501,0,0,0,2404.52531664593,224582.66457473,0,0,1683.16772165215,3847.24050663349,1172.20609186489,60.1131329161482,0,90.1696993742223,721.357594993778,0,0,1202.26265832296,2404.52531664593,0,0,0,0,120.226265832296,240.452531664593,28613.8512680865,0,0
5M,13,5M13,8.55497222,76.93902778,P.Arenas N,2016-02-13,09:50:00 AM,5M-13-1,1.275,28.295,27.2565832391233,8.365,2.96,1.28427,8.96666666666664,0.626889848812095,0.008966667,131.4343696,14,1.338,0.5069,0,841.179965196179,0,3364.71986078472,235530.39025493,0,0,5888.25975637325,5047.07979117707,2470.96614776378,0,0,1577.21243474284,7570.61968676561,841.179965196179,0,142159.414118154,4205.8998259809,9252.97961715797,0,368.016234773328,0,0,0,45423.7181205937,0,0
5M,15,5M15,8.76527778,76.639,Sabanilla,2016-02-26,08:35:00 AM,5M-15-1,0.85,28.455,29.7127322474766,8.295,3.155,13.600535,15.65,0.576673866090713,0.01565,177.3867386,15,0.4443,0.1641,0,3784.25042277173,0,17029.1269024728,1110677.4990835,1892.12521138586,0,15137.0016910869,7568.50084554345,2719.92999136718,6149.40693700406,0,2601.67216565556,5676.37563415759,0,3784.25042277173,5676.37563415759,7568.50084554345,0,0,0,0,0,1892.12521138586,7568.50084554345,0,0
6M,1,6M1,8.24186111,76.94947222,Roto,2016-05-09,07:59:00 AM,6M-1-1,0.145,27.385,0.373684594529777,7.97,3.375,21.79788,105,0.809935205183586,0.105,8.968167489,9,0.9333,0.4248,0,44.8408374474802,0,0,35155.2165588245,3407.90364600849,2286.88270982149,44.8408374474802,0,0,0,44.8408374474802,224.204187237401,2062.67852258409,0,0,0,0,0,3587.26699579841,0,0,0,0,0,0,0
6M,2,6M2,8.12266667,76.89844444,Candelaria,2016-05-09,09:26:00 AM,6M-2-1,1.275,28.78,9.47300653678549,7.94,3.37,4.009005,7.6,0.388768898488121,0.0076,9.427380885,13,0.8545,0.3331,47.1369044252126,518.505948677338,0,0,112185.832532006,94.2738088504252,94.2738088504252,1461.24403718159,47.1369044252126,0,0,47.1369044252126,1225.55951505553,235.684522126063,0,0,141.410713275638,3818.08925844222,0,0,0,0,0,0,129343.665742783,0,0
6M,3,6M3,8.12644444,76.80983333,Margarita,2016-05-09,10:36:00 AM,6M-3-1,0.775,28.905,6.10163595082379,7.785,3.36,4.321395,11.1,0,0.0111,7.42853747,10,1.338,0.581,0,74.28537469543,0,0,7874.24971771558,0,0,74.28537469543,0,0,0,37.142687347715,3899.98217151007,854.281808997445,111.428062043145,0,1448.56480656088,111.428062043145,0,0,0,0,0,0,12999.9405717002,0,0
6M,4,6M4,8.01538889,76.85413889,Leoncito,2016-04-25,08:10:00 AM,6M-4-1,0.11,27.8,0.157280383331343,7.565,3.01,2.84622,104.4,0,0.1044,14.05639425,8,0.8156,0.3922,0,105.422956903095,0,0,34227.3200078716,2986.98377892103,2705.85589384611,0,0,0,0,70.2819712687302,2635.57392257738,527.114784515476,0,0,0,0,0,175.704928171825,0,0,0,0,0,0,0
6M,5,6M5,8.02088889,76.89516667,Marirrio,2016-04-25,07:20:00 AM,6M-5-1,1.32,27.67,6.91571387167146,8.165,3.12,4.842045,12.9,0,0.0129,20.29467874,5,0.3731,0.2318,0,0,0,0,29190.5129141806,0,0,0,0,0,0,1014.73393676178,1826.52108617121,33.824464558726,33.824464558726,0,0,0,0,0,0,0,0,0,0,0,0
6M,7,6M7,8.00461111,76.88166667,Currulao,2016-04-27,08:26:00 AM,6M-7-1,0.465,28.37,7.12774309645349,8.075,3.345,12.04437,19.9,0.653617710583153,0.0199,24.80758616,10,0.2449,0.1064,0,0,0,0,176630.013458116,0,0,496.151723196954,62.0189653996192,0,0,248.075861598477,744.227584795431,620.189653996192,186.056896198858,0,2666.81551218363,744.227584795431,0,0,0,0,0,0,1798.54999658896,0,0
6M,8,6M8,8.10852778,76.74458333,El Uno,2016-04-27,10:20:00 AM,6M-8-1,0.15,27.5,2.81091057584712,7.435,3.11,6.230445,41.2,1.05210583153348,0.0412,24.38875678,4,0.09887,0.07132,0,0,0,0,453305.692742313,0,0,0,0,0,0,0,487.77513566246,7154.03532304941,0,0,0,0,0,0,0,0,0,0,650.366847549946,0,0
6M,9,6M9,8.00633333,76.72669444,Yarumal,2016-04-27,09:29:00 AM,6M-9-1,1.5,28.5,8.8212470845176,8.29,3.47,9.7188,12,0.806695464362851,0.012,17.1972003,9,0.8491,0.3864,0,171.972002957918,0,0,80568.8833857848,85.9860014789592,1375.77602366335,687.888011831674,0,0,0,0,1461.76202514231,687.888011831674,0,0,85.9860014789592,0,0,0,0,0,0,0,57524.6349894237,0,0
6M,10,6M10,8.47011111,76.81772222,RioNecocli,2016-04-26,11:20:00 AM,6M-10-1,3.465,28.68,21.0051731037576,8.285,3.13,0.76362,9.7142857142857,0.262419006479481,0.009714286,8.265555776,8,1.16,0.5577,0,0,0,41.3277788798519,82.6555577597038,0,0,0,165.311115519408,1363.81670303511,0,82.6555577597038,0,0,0,0,2934.27230046948,289.294452158963,0,0,0,0,41.3277788798519,0,0,0,0
6M,12,6M12,8.52194444,76.92738889,P.Arenas S,2016-04-26,10:10:00 AM,6M-12-1,4.775,29.12,26.5593943627457,8.265,2.955,1.11072,10.3,0.485961123110151,0.0103,16.54276138,17,2.154,0.7601,0,99.2565683034075,0,2415.24316204958,7543.49919105897,0,0,4863.57184686697,1157.99329687309,6418.59141695368,0,0,33.0855227678025,694.795978123852,496.282841517037,0,1588.10509285452,628.624932588247,99.2565683034075,14921.5707682789,0,1157.99329687309,33.0855227678025,10818.9659450714,5525.28230222302,0,0
6M,13,6M13,8.55497222,76.93902778,P.Arenas N,2016-04-26,09:20:00 AM,6M-13-1,4.6,28.595,23.212919596255,8.345,3.025,0,9.8,0.0907127429805616,0.0098,58.83252733,10,1.336,0.5802,0,25101.8783264892,0,3765.28174897337,48948.6627366539,0,0,12550.9391632446,333854.981742306,1058.98549189876,0,0,0,1255.09391632446,0,0,8785.6574142712,25101.8783264892,0,0,0,0,0,0,176968.242201749,0,0
6M,14,6M14,8.88238889,76.50716667,Bajo Medio,2016-04-30,09:57:00 AM,6M-14-1,10.05,29.07,26.2506572556018,8.42,3.105,2.794155,7.04999999999998,0,0.00705,290.316694,16,1.213,0.4376,0,53086.481195773,0,15925.9443587319,2261484.09893993,69012.4255545049,0,138024.85110901,138024.85110901,40685.8109789479,6138.12438826125,0,953.897708986546,10617.2962391546,5308.6481195773,0,26543.2405978865,291975.646576751,95555.6661523914,0,0,5308.6481195773,0,0,31851.8887174638,0,0
6M,15,6M15,8.76527778,76.639,Sabanilla,2016-04-29,08:46:00 AM,6M-15-1,9.65,28.585,21.6161776848812,8.42,3.18,4.217265,6.74999999999999,0,0.00675,489.0453834,14,1.741,0.6595,0,0,0,9780.90766823161,184859.154929578,234741.784037559,0,63575.8998435055,0,67488.2629107981,0,3912.36306729265,0,41079.8122065728,1956.18153364632,0,3912.36306729265,9780.90766823161,422535.211267606,2934.27230046948,0,3912.36306729265,0,0,31298.9045383412,0,0
7M,1,7M1,8.24186111,76.94947222,Roto,2016-08-20,07:30:00 AM,7M-1-1,0.325,27.665,0.935001576912594,7.535,2.725,2.49912,64.2,1.15334773218143,0.0642,13.34668001,6,1.038,0.5793,0,0,0,0,17350.6840173507,62996.3296629963,60860.8608608609,0,0,0,0,0,400.4004004004,0,0,800.800800800801,266.933600266934,0,0,0,0,0,0,0,0,0,0
7M,2,7M2,8.12266667,76.89844444,Candelaria,2016-08-20,09:20:00 AM,7M-2-1,2.285,29.865,23.8760639988969,8.08,3.675,2.655315,21.4545454545454,0.353131749460043,0.021454545,103.8637308,14,0.771,0.2922,0,3988.36726215206,0,41213.1283755712,660739.509763191,0,0,22600.7478188616,0,166.181969256336,2201.91109264645,0,415.454923140839,1329.45575405069,2658.91150810137,0,18612.3805567096,5317.82301620274,33236.3938512671,0,0,0,1329.45575405069,0,2658.91150810137,0,0
7M,3,7M3,8.12644444,76.80983333,Margarita,2016-08-20,10:49:00 AM,7M-3-1,0.955,29.035,8.39864325215264,8.36,3.75,4.425525,27.1272727272728,0.733801295896328,0.027127273,7.852375344,12,1.769,0.7118,0,39.2618767177071,0,667.451904201021,6556.73341185709,392.618767177071,1688.26069886141,1138.59442481351,0,0,0,0,1256.38005496663,196.309383588536,0,0,392.618767177071,78.5237534354142,1531.21319199058,0,0,0,0,0,7538.28032979977,0,0
7M,4,7M4,8.01538889,76.85413889,Leoncito,2016-08-22,08:39:00 AM,7M-4-1,0.095,28.435,0.219304860144506,7.78,3.425,2.84622,161,0.450323974082073,0.161,8.568980291,5,0.8478,0.5268,0,0,0,0,15338.4747215081,57412.1679520137,10197.0865467009,0,0,0,0,0,128.53470437018,171.379605826907,0,0,0,0,0,0,0,0,0,0,0,0,0
7M,5,7M5,8.02088889,76.89516667,Marirrio,2016-08-22,07:36:00 AM,7M-5-1,1.185,30.06,10.0912620233196,8.195,3.425,2.204085,16.55,0.443844492440605,0.01655,86.84324794,11,0.1425,0.05942,0,0,0,0,1031003.03951368,1389.49196699957,0,1389.49196699957,0,260.529743812419,217.108119843682,1389.49196699957,1042.11897524967,0,8336.9518019974,0,4168.4759009987,2778.98393399913,0,0,0,0,0,0,1389.49196699957,0,0
7M,7,7M7,8.00461111,76.88166667,Currulao,2016-08-28,06:46:00 AM,7M-7-1,2.4,29.825,28.6899921334394,8.03,2.71,2.238795,23.4,0.728941684665227,0.0234,146.5738366,17,1.528,0.5393,0,293.147673140344,0,36643.4591425431,270282.154635398,0,0,293.147673140344,2345.18138512276,92634.6647123489,329.791132282888,0,879.443019421033,26969.5859289117,1172.59069256138,0,76511.5426896299,5569.80578966655,12605.3499450348,3810.91975082448,0,586.295346280689,586.295346280689,0,1758.88603884207,0,0
7M,8,7M8,8.10852778,76.74458333,El Uno,2016-08-28,08:59:00 AM,7M-8-1,0.425,29.91,13.7126655481857,8.13,3.515,14.05755,48,0.0988120950323972,0.048,30.51261188,6,0.7065,0.3943,0,0,0,0,124979.658258747,0,0,976.403580146461,0,284.784377542718,0,0,447.518307567128,201790.073230269,0,0,0,325.46786004882,0,0,0,0,0,0,0,0,0
7M,9,7M9,8.00633333,76.72669444,Yarumal,2016-08-28,08:10:00 AM,7M-9-1,1.625,28.835,12.9373642835173,8.155,3.555,3.19332,14.65,0.36609071274298,0.01465,193.1993818,8,0.471,0.2265,0,0,0,0,1627202.47295209,0,0,2472.95208655332,0,927.357032457496,0,0,231.839258114374,0,4945.90417310665,0,44513.1375579598,98918.0834621329,0,0,0,0,0,0,44513.1375579598,0,0
7M,10,7M10,8.47011111,76.81772222,RioNecocli,2016-08-24,02:28:00 PM,7M-10-1,3.925,30.605,20.0270077424743,8.44,3.32,3.175965,18.5341463414634,0.464902807775378,0.018534146,28.74664622,17,1.92,0.6776,0,1341.51015714833,0,2453.04714449981,29628.2100421617,1188.19471061709,0,5749.32924492143,0,4177.84591797624,6324.26216941357,153.315446531238,153.315446531238,344.959754695286,843.234955921809,0,13070.141816788,613.261786124952,4829.436565734,0,0,421.617477960905,38.3288616328095,0,766.57723265619,0,0
7M,12,7M12,8.52194444,76.92738889,P.Arenas S,2016-08-24,01:00:00 PM,7M-12-1,3.205,30.415,25.3897704947166,8.805,3.22,2.204085,17.4,0.631749460043197,0.0174,15.35508637,18,2.016,0.6975,0,268.714011516315,0,1727.4472168906,27677.5431861804,5527.8310940499,0,4913.62763915547,76.7754318618042,1996.16122840691,2648.75239923225,230.326295585413,0,1036.46833013436,882.917466410749,0,11439.5393474088,767.754318618042,5681.38195777351,0,0,38.3877159309021,76.7754318618042,0,191.938579654511,11938.5796545106,0
7M,13,7M13,8.55497222,76.93902778,P.Arenas N,2016-08-24,09:50:00 AM,7M-13-1,2.125,29.54,25.2189598904958,8.37,3.245,1.371045,19.7,0.118250539956803,0.0197,17.88908766,15,1.261,0.4655,0,0,0,2289.80322003578,198354.203935599,16887.2987477639,0,2003.57781753131,0,4150.26833631485,858.676207513417,286.225402504472,35.778175313059,0,858.676207513417,0,15742.397137746,10304.114490161,25187.8354203936,286.225402504472,0,0,0,0,1717.35241502683,12343.4704830054,0
7M,14,7M14,8.88238889,76.50716667,Bajo Medio,2016-08-18,10:40:00 AM,7M-14-1,5,30.275,22.9721985095189,8.48,2.81,1.232205,14.85,0.76133909287257,0.01485,30.16591252,11,0.7656,0.3193,0,0,0,804.424333836099,370035.193564605,155253.896430367,0,2413.2730015083,0,201.106083459025,2664.65560583208,0,251.382604323781,1608.8486676722,804.424333836099,0,0,0,2413.2730015083,0,0,0,0,0,3217.69733534439,0,0
7M,15,7M15,8.76527778,76.639,Sabanilla,2016-08-10,08:46:00 AM,7M-15-1,5,30.07,24.6722487137818,8.365,3.23,0,13.45,0.2122030237581,0.01345,89.67001435,15,1.459,0.5387,0,4591.10473457676,0,8608.32137733142,332281.205164993,14921.0903873745,0,35007.1736011478,0,9253.94548063128,7747.48923959828,0,394.54806312769,6312.76901004304,10903.8737446198,0,14347.2022955524,22381.6355810617,17790.5308464849,0,0,0,1721.66427546628,0,19512.1951219512,0,0
